source_batch,message_id,email_subject,received_date,attachment_name,local_path,primary_topics,asset_role,caveat,next_use
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-01 101358.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-01 101358.png,seismic,seismic gather / trace evidence,"Source screenshot only; not a final validated pick or model output.",Use in the trace-to-pick QA panel and crop for mobile.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-01 124154.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-01 124154.png,seismic,CMP gather geometry schema,"Use as processing-geometry provenance; do not present it as a new interpretation.",Pair with gather screenshot and confidence-band diagram.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-12 194044.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-12 194044.png,seismic;near_surface,map/table source context,"Large source screenshot needs a crop and exact origin label before becoming a lead visual.",Use as station/survey or field-geometry context in evidence strips.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-13 154603.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-13 154603.png,near_surface;seismic,line index / geometry diagram,"Project origin should stay visible as email-source evidence until matched to a deck or paper.",Use in the near-surface line-intersection explanation.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-20 212113.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-20 212113.png,seismology_course_reference,SSW/seismology course question screenshot,"Do not use as AI-workflow or agent-training evidence; it was mismatched during the source dive.",Keep cataloged only until matched to the correct seismology/course context.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-21 160753.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-21 160753.png,seismic,terminal or station text output,"Log/provenance screenshot; keep it supporting unless the exact data flow is documented.",Use as file/log evidence in seismic large-data processing narrative.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,Screenshot 2025-07-21 160808.png,assets/gmail_updates/2026-06-11_linkedin_sources/Screenshot 2025-07-21 160808.png,seismic,seismic pick/review plot,"Source evidence for review workflow; not enough by itself to assert model accuracy.",Use in the PICK | CONFIDENCE | OVERRIDE queue build.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,IMG_9800.jpg,assets/gmail_updates/2026-06-10/IMG_9800.jpg,seismic;processing_visuals,field-computer / large-data processing evidence,"Photo is workflow evidence, not a scientific result panel.",Keep as supporting source for large-data processing and plot review on rugged hardware.
2026-06-11_linkedin_sources,19eb4f2c59250b2b,Ai portfolio changes new,2026-06-10,linkedin_email_attachment_contact_sheet.jpg,assets/gmail_updates/2026-06-11_linkedin_sources/linkedin_email_attachment_contact_sheet.jpg,source_audit,batch review contact sheet,"Contact sheet is for curator review, not a public topic visual.",Use to compare attachment choices during later source dives.
2026-06-11_linkedin_portfolio_notes,19e33480adbd4102,Rohan nanda Linkden post submission and Employee History,2026-05-16,DOE logo inline image,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/linkedin_doe_logo_inline.png,private_provenance_context,DOE media cue for LinkedIn wording,"Private source/media context only; do not use as topic evidence or imply DOE endorsement beyond the email note.",Keep cataloged for wording/source review only.
2026-06-11_ai_portfolio_notes,19eb8bded6bdf5c7,AI powerpoint updates 6/11 new,2026-06-11,visual_reference_01.png,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/visual_reference_01.png,visual_reference_only,action-sequence diagram reference,"Private reference image for visual language; not source evidence and not a public topic visual.",Keep as private design reference only; model-term cards now use generated unique sketches.
2026-06-11_ai_portfolio_notes,19eb8bded6bdf5c7,AI powerpoint updates 6/11 new,2026-06-11,visual_reference_02.png,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/visual_reference_02.png,visual_reference_only,random-forest model diagram reference,"Reference image for model explanation style; not source evidence for any one model and not a public topic visual.",Keep as private design reference only; model-term cards now use generated unique sketches.
2026-06-11_ai_portfolio_notes,19eb8bded6bdf5c7,AI powerpoint updates 6/11 new,2026-06-11,visual_reference_03.png,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/visual_reference_03.png,ai_workflow;site_qa,app screenshot with stray HTML text,"QA screenshot only; it documents a rendering bug instead of content evidence.",Fix the literal closing-tag display and recheck the ML diagram panel.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_01.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_01.png,north_slope,well-log scaffold parameter cards,"PowerPoint note image; retain symbol/unit/source caveats when adapting.",Use in the North Slope parameter and locked-target explanation.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_02.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_02.png,north_slope,cropped hydrate what-where-why-goal block,"Cropped helper graphic; weaker than the full intro slide.",Use only as a small callout if the full slide is too busy.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_03.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_03.png,north_slope;portfolio_profile,DOE seal repeat,"Public agency media cue; avoid unsupported endorsement language.","Use beside source/provenance wording, not as a standalone topic visual."
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_04.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_04.png,north_slope,gas hydrate intro and structural explorer slide,"Best full North Slope note slide from this email; still needs exact public-source labels kept visible.","Use as the content checklist for hydrate intro, map context, and structural explorer wording."
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_05.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_05.png,portfolio_profile,World Cup about visual reference,"Personal/about reference; use cautiously in public pages unless rights and context are clear.",Keep as an about-page style cue rather than scientific evidence.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_06.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_06.png,portfolio_profile,Spotify about visual reference,"Personal/about reference; use cautiously in public pages unless rights and context are clear.",Keep as a private style/reference asset rather than a scientific evidence panel.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_07.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_07.png,portfolio_profile,drawing about visual reference,"User-provided drawing reference; stronger for about/profile than generic stock imagery.",Use as a personal creative-process image in portfolio/about evidence.
2026-06-11_north_slope_powerpoint_visuals,19eb912268782bbc,north slope of alaska powerpoint vizuals,2026-06-11,north_slope_email_inline_08.png,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_08.png,north_slope;portfolio_profile,North Slope title and about slide,"Good portfolio/title context; not a technical model-evidence slide by itself.",Use to connect the North Slope deck to profile/about presentation framing.
