change_id,section,current_state,proposed_visual,minimal_copy,why,priority,status
overview_hero,Overview,"A title, explanatory paragraph, metric pills, and project-card grid introduce the site as a portfolio.","Replace the paragraph and metrics with a full-width animated wall of topic symbols: files, map layers, prompts, graph nodes, model gates, and outputs connected by gray arrows. Each cluster opens one discussion topic.","Pick a topic. Let's talk.","The answers reject a ranked portfolio opener and ask for a seminar-like discussion wall where projects are secondary.",P0,planned
overview_cards,Overview,"Cards still use project titles, status badges, a question, and a relatively large image block.","Lead each tile with an AI topic question. Use a custom vector/motion image first and a small cropped real-project proof inset. Keep only one question and one raise-your-hand line.","How far can AI take public energy data?","This makes the idea primary and the project an example, matching the owner's answer to questions 12, 28, and 45.",P0,in_progress
overview_connections,Overview,"Topic cards appear as separate boxes without showing relationships between ideas.","Add faint connecting routes across the topic wall: screenshots to agents, public data to 3D maps, source tables to knowledge graphs, instrument signals to resource maps, and notebooks to cloud apps.","Ideas connect.","The owner wants a wall of workflows and products brought together by AI rather than isolated project cards.",P1,planned
navigator,Sidebar,"A labeled dropdown is clearer than the old radio list but still exposes many implementation and evidence destinations.","Create six public destinations: Start, Topics, Interactives, Visual Lab, Vision, About. Put audits, notebooks, sources, architecture, and update intake inside one Build Room.","Choose a room.","This reduces navigation overhead and keeps internal inventories away from the public discussion experience.",P0,planned
topic_header,Think Tank Topics,"The room opens with a text hero, abstract poster, embedded workflow, and several expandable technical sections.","Open with a question over a custom motion canvas. Place one cropped proof image inside the canvas. Put a single discussion invitation beside it. Delay all explanations until below the visual.","What would you do differently?","The owner wants pages to feel like visual seminar boards and explicitly invites experienced people to challenge the ideas.",P0,planned
topic_workflow,Think Tank Topics,"The workflow tree uses labeled boxes and short descriptions but remains primarily text-based.","Replace each node with a recognizable image or icon plus one word. Animate particles or gray arrows through the workflow. Use real screenshot crops at the current-work nodes and vector art at future-ML nodes.","INPUT → AI → OUTPUT → REVIEW","The requested style is images, arrows, movement, and one-word explanations rather than diagram boxes full of text.",P0,in_progress
topic_current_future,Think Tank Topics,"Current AI use and future ML appear in multiple sections, expanders, timelines, and prose.","Create one split visual: left side 'Used now' with screenshots/tools; right side 'Could become' with model architecture and product output. A bright gate in the center says 'Domain guidance'.","Used now | Could become","This directly communicates that prompting was real while advanced ML remains a discussion possibility.",P0,planned
north_slope_open,North Slope Topic,"The page shows an abstract poster followed by the embedded Plotly structural explorer and a workflow tree.","Make the 3D explorer the background hero. Float five source icons around it: public maps, wells, papers, wireline logs, and geology. Lines feed the model; three output branches leave it: investigate, more data, low priority.","Public data → 3D decision space","The owner described the actual workflow as Open Science Lab, GitHub, large shapefiles, papers, wells, and a 3D idea intended to help industry and government.",P0,planned
north_slope_depth,North Slope Topic,"Wireline features and hydrate screening are described in cards and future-use text.","Add a synchronized vertical well panel beside the 3D map: gamma ray, resistivity, density, rock unit, hydrate clue, and uncertainty. Selecting an interval highlights its map location.","Which interval deserves review?","This turns vague ML language into a visible input-output workflow grounded in the stated North Slope goals.",P1,planned
north_slope_value,North Slope Topic,"Industry and public value are explained verbally in bottleneck and future sections.","End the visual with three large benefit icons: faster screening, fewer wasted investigations, and clearer public-data reuse. Keep profitability and energy access as discussion prompts rather than claims.","Where is the real value?","The audience cares about DOE, energy delivery, industry adoption, and the money or public-value case.",P1,planned
agent_training_open,Scientific Software Agent Topic,"The room uses an agent poster and imported QGIS/Handshake screenshots in evidence galleries.","Use a real QGIS screenshot as the stage. Overlay numbered action markers, a prompt card, recording indicator, rubric gate, and replay path. Show one failed action returning to a human reviewer.","Demo → rubric → replay","This explains the actual Handshake/QGIS/ParaView/Vagon training process visually and makes the future-agent question concrete.",P0,planned
agent_training_future,Scientific Software Agent Topic,"Future agents are discussed in prose as imitation learning and evaluation harnesses.","Show a two-lane loop: human performs task; agent replays task. Both pass through the same output rubric. The final branch asks which useful world projects become possible after grunt work is automated.","What becomes valuable after automation?","The owner wants discussion about what society and industry should build once software agents can perform routine work.",P1,planned
ree_open,Critical Minerals Knowledge Graph Topic,"An abstract knowledge-graph poster leads, followed by workflow and multiple detailed evidence sections.","Create one left-to-right visual using real artifacts: prompt page crop, Adobe subsurface drawing, Excel rows, node/child CSV, Gephi graph, then a glowing unknown-question node.","Can a graph help us ask a new question?","This is the exact historical workflow described in the answers and keeps domain knowledge visible before AI structure.",P0,planned
ree_reasoning,Critical Minerals Knowledge Graph Topic,"The page emphasizes graph structure but not enough of the owner's geologic reasoning during drawing and repeated prompting.","Animate mineral and process nodes emerging from the Adobe drawing. Solid edges mean source-supported; dotted edges mean AI suggestion; orange edges mean human geologic reasoning.","SOURCE | AI | GEOLOGIST","The owner stressed that crystallization and paragenesis knowledge made the prompts useful and should not be hidden.",P1,planned
ree_future,Critical Minerals Knowledge Graph Topic,"Neo4j, GraphRAG, and graph ML appear as technical labels and future text.","Add a query beam moving through the graph toward three possible outputs: evidence summary, relationship gap, and extraction hypothesis. Mark the last two as expert-reviewed questions, not discoveries.","Organize → query → test","This shows why knowledge graphs may be more useful than flat tables without claiming that AI discovers deposits.",P1,planned
rock_open,Rock Classification Topic,"The room shows posters, maps, charts, and classification slides in separate galleries.","Build one property-to-map animation. Density, velocity, resistivity, chemistry, and formation labels enter as colored particles; range gates sort them; accepted combinations assemble into the real classified GIS map.","Signals become zones.","The owner wants instrumentation connected to rock properties and actual mapped outcomes.",P0,planned
rock_future,Rock Classification Topic,"Future multimodal ML and 3D resource mapping are explained in text and generic node diagrams.","Extend the map upward into a transparent 3D block. Surface survey layers feed subsurface cells; uncertain cells stay gray. Add an automation loop that downloads, classifies, merges, and deletes temporary public files.","Area → public data → 3D resource model","This captures the stated product vision: automated public-data gathering and combined seismic, EM, MT, geochemistry, and formation mapping.",P1,planned
seismic_open,Seismic Topic,"The room presents waveform/seismic evidence, an abstract poster, and separate future-ML descriptions.","Use a synchronized three-panel visual: scrolling trace, arrival pick with confidence band, and event-station or velocity map. Moving the pick updates the interpretation.","PICK | CONFIDENCE | OVERRIDE","This demonstrates how AI can reduce repetitive work while preserving uncertainty and expert control.",P1,planned
valles_open,Field Geophysics Topic,"Gravity, EM/ERT/TEM, seismic, and uncertainty are described across cards and visual galleries.","Stack three translucent survey layers over common geometry. Agreement glows; conflict remains gray; clicking a conflict reveals field limitations or acquisition differences.","Combine evidence, not certainty.","This directly answers the bottleneck of combining surveys without flattening instrument-specific uncertainty.",P1,planned
moho_open,Moho ML Topic,"The page uses a transfer poster, project description, future timeline, and model-risk text.","Show Australia and USA side by side. Training points flow through an ANN baseline, land on the USA map, then flip into residuals. A leakage gate visibly blocks invalid evaluation.","Did it transfer or memorize?","This is the one real supervised ML example and should visually teach transfer, residuals, and honest evaluation.",P0,planned
stock_open,Codex App Pipeline Topic,"The room describes local files, Codex, GitHub, Streamlit, cloud workflow, and leakage risk in separate sections.","Animate messy Downloads files entering Codex, becoming a GitHub-tracked pipeline, and appearing as a Streamlit app. A model-test gate blocks reused evaluation data before deployment.","Build faster. Test honestly.","This reflects what surprised the owner: organizing existing work, reducing copy-paste, working through GitHub/cloud, and catching biased testing.",P0,planned
stock_society,Stock/Codex Topic,"Finance and the concerns of younger builders appear mainly in explanatory text.","Add a final choice board with three branches: automate work, build a service, or test an investment idea. Each branch shows required knowledge and risk rather than promised income.","What should young builders learn now?","The owner wants the page to start discussion about jobs, money, drive, and responsible use of AI.",P2,planned
processing_open,Processing Earthquake Topic,"The page relies on a poster and explanations because the verified original motion asset is incomplete.","Build a new abstract globe rather than discussing the missing video. Events pulse by magnitude, shift by depth, and emit rings. Keep only three visible controls: time, depth, magnitude.","See it. Hear it. Question it.","The project should function as a creative origin story and visual discussion, not as a missing-file disclaimer.",P1,planned
presentation_view,Presentation View,"The page contains pillars, workflow cards, video/visual selectors, expert questions, talk path, and folder tables.","Replace it with a seven-frame presentation rail: question, evidence, AI action, working output, human review, future product, audience prompt. Each frame uses one dominant visual.","QUESTION → PROOF → POSSIBILITY","The site will be presented live; a controlled visual sequence is more useful than a dashboard of presentation assets.",P1,planned
vision_board,Vision Board,"The page displays metrics, filters, text-heavy vision cards, a delivery table, and review-question boxes.","Use a three-horizon spatial canvas. Now, Next, and Later appear as connected zones with thumbnails and one deliverable each. Selecting an item opens evidence, goal, and next artifact.","NOW | NEXT | LATER","The vision should be glanceable and visual, while the CSV remains the detailed implementation source.",P1,planned
visual_lab,Processing Visual Lab,"The lab explains many motion concepts and research plans with substantial text.","Show a wall of live or simulated motion thumbnails. Hover or select to reveal only: input, movement rule, output, validation. Link each sketch directly to its topic room.","Input. Motion. Meaning.","This makes the visual lab itself demonstrate the desired design language.",P1,planned
ml_future,Machine Learning Future,"Future ML is still a separate destination even though the owner wants it integrated into every topic.","Remove it from public navigation. Place one specific ML architecture inside every topic and retain the page only inside Build Room as a cross-project research index.","ML belongs inside the question.","This prevents generic ML claims and ensures every technique has visible inputs, output, and reason.",P0,planned
contact,Contact / Ideas,"The page has a text hero, three idea cards, and a short personal paragraph.","End with a cafe-table illustration surrounded by sticky-note prompts from the site. Use one message box or contact link labeled 'Share an idea or correction.' Keep a four-line personal note.","How does your experience change this?","The desired conversion is conversation and learning, not hiring or downloading a package.",P1,planned
build_room,Build Room,"Technical pages are spread across Code, Notebooks, Evidence Library, Visual Audit, Update Inbox, System Map, and Build Plan.","Create one private-facing Build Room with tabs for architecture, sources, notebooks, visual audit, updates, and backlog. Keep it accessible but visually secondary.","Behind the think tank.","This preserves useful maintenance tools without making public visitors navigate repository operations.",P0,planned
system_map_icons,System Map,"Research flow, architecture, and delivery concepts are drawn as identical circles with words inside them.","Replace each circle with a drawn object tile: files, capture frame, code window, folded map, review gate, published screen, data table, layer stack, 3D cube, motion globe, or people. Keep the short label below the object and show delivery progress as a separate bar.","SEE THE SYSTEM MOVE","Visitors can recognize the type of object before reading, while Processing motion still shows how evidence moves through the system.",P0,in_progress
